 Td        ID        Tj        Df        Dd        Db
425      2528       179        56       190       246
427      2530       180        56       191       247
427       544       182        58       187       245
427       545       182        58       187       245
429      2533       180        57       192       249
429      2534       180        57       192       249
429       548       183        58       188       246
429       549       183        58       188       246
429       550       183        58       188       246
430      2413       133        47       250       297
430      2414       133        47       250       297
430      2535       181        57       192       249
431      2536       181        57       193       250
431      2537       181        57       193       250
431       553       184        58       189       247
431       554       184        58       189       247
432      2538       181        57       194       251
432      2735       239        83       110       193
432       555       184        59       189       248
432       556       185        58       189       247
433       557       185        58       190       248
435      2540       182        58       195       253
436      2541       182        58       196       254
436       328       106        35       295       330
436       329       106        35       295       330
436       758       245        81       110       191
437      2542       182        58       197       255
437      2543       182        58       197       255
437       421       142        44       251       295
437       561       187        58       192       250
440       564       187        59       194       253
441       423       142        45       254       299
443      2554       184        60       199       259
446      2760       246        86       114       200
448      2558       185        61       202       263
448      2321       104        34       310       344
449       431       146        45       258       303
450       577       192        60       198       258
450       578       192        60       198       258
454      2565       189        61       204       265
454       583       193        61       200       261
455      2566       189        61       205       266
455      2568       189        61       205       266
456       586       194        61       201       262
456       587       194        61       201       262
457      2574       191        62       204       266
457      2425       144        47       266       313
457       588       194        62       201       263
457       589       194        62       201       263
457       590       194        62       201       263
457       439       147        47       263       310
458      2426       144        47       267       314
459      2427       144        47       268       315
459       594       195        62       202       264
459       595       195        62       202       264
460      2788       254        90       116       206
460      2428       144        47       269       316
461       444       148        47       266       313
461       445       148        47       266       313
461       596       196        62       203       265
461       597       196        63       202       265
461       598       196        63       202       265
461       599       196        63       202       265
461       600       196        63       202       265
463      2336       109        36       318       354
463       446       149        47       267       314
463       601       197        63       203       266
463       602       197        64       202       266
463       604       197        64       202       266
464       447       149        48       267       315
464       448       149        48       267       315
464       449       149        48       267       315
465      2583       193        63       209       272
465      2584       193        63       209       272
466      2585       194        64       208       272
466       450       149        48       269       317
467       608       198        64       205       269
467       610       198        65       204       269
467       611       199        64       204       268
469      2595       196        65       208       273
469       614       199        65       205       270
470       615       199        65       206       271
471      2598       196        66       209       275
471       455       150        49       272       321
472      2440       148        48       276       324
472      2441       148        48       276       324
472      2442       148        48       276       324
472      2443       148        48       276       324
472      2444       148        48       276       324
474      2814       264        91       119       210
474      2601       197        67       210       277
474       619       200        66       208       274
474       620       200        66       208       274
476      2602       197        67       212       279
476      2604       197        67       212       279
476      2815       265        91       120       211
476      2817       265        91       120       211
476       456       152        49       275       324
476       458       152        50       274       324
479      2609       198        67       214       281
480       623       203        65       212       277
480       624       203        65       212       277
482      2611       199        67       216       283
482       262        88        27       367       394
484      2613       199        68       217       285
485      2451       150        49       286       335
