 Td        ID        Tj        Df        Dd        Db
111      2695       100         3         8        11
111        83        13         9        89        98
112      2696       100         3         9        12
112      2697       100         3         9        12
112      2699       100         3         9        12
112      2785       111         0         1         1
112      2730       104         4         4         8
112      2732       104         4         4         8
112      2733       104         4         4         8
112      2735       104         4         4         8
112       753       106         0         6         6
112       755       106         0         6         6
113      2737       104         4         5         9
113      2704       101         3         9        12
113      2705       101         3         9        12
113      2788       111         0         2         2
113      2794       112         0         1         1
113      2767       109         3         1         4
113      2793       112         0         1         1
113      2774       110         0         3         3
113      2706       101         3         9        12
113      2709       101         3         9        12
113      2738       105         4         4         8
113      2739       105         4         4         8
113      2740       105         4         4         8
114      2742       105         4         5         9
114      2745       105         4         5         9
114      2746       105         4         5         9
114      2710       101         4         9        13
114      2806       114         0         0         0
114       765       108         0         6         6
114       792       111         0         3         3
114       790       111         0         3         3
115      2711       102         3        10        13
115      2712       102         3        10        13
115      2752       106         4         5         9
115      2753       106         4         5         9
115      2802       114         0         1         1
115      2808       114         0         1         1
115      2813       115         0         0         0
116      2718       102         4        10        14
116      2719       102         4        10        14
116      2817       115         0         1         1
116      2815       115         0         1         1
116      2725       103         4         9        13
116      2726       103         4         9        13
116      2728       103         4         9        13
116       773       109         1         6         7
116       789       111         1         4         5
117      2756       108         4         5         9
117      2757       108         4         5         9
117      2760       108         4         5         9
117      2814       115         1         1         2
117      2762       108         4         5         9
117      2763       108         4         5         9
117      2764       108         4         5         9
118      2771       109         4         5         9
118      2776       110         4         4         8
118      2777       110         4         4         8
118      2778       110         4         4         8
118      2779       110         4         4         8
118      2780       110         4         4         8
119      2781       110         4         5         9
119      2782       110         4         5         9
119      2747       106         4         9        13
119      2748       106         4         9        13
119      2750       106         4         9        13
119      2784       111         4         4         8
119      2787       111         4         4         8
119       805       114         1         4         5
119       804       114         0         5         5
119        89        13         9        97       106
119       812       115         0         4         4
119       793       112         0         7         7
119        46         8         5       106       111
119        47         8         5       106       111
119        48         8         5       106       111
120      2790       111         4         5         9
120      2720       103         4        13        17
120      2723       103         4        13        17
120      2820       119         0         1         1
120      2826       119         0         1         1
120      2825       119         0         1         1
120      2724       103         4        13        17
120      2795       112         4         4         8
120      2797       112         5         3         8
120      2798       112         5         3         8
121      2768       109         4         8        12
121      2769       109         4         8        12
121      2770       109         4         8        12
121       803       114         1         6         7
121       810       114         1         6         7
122      2783       111         4         7        11
122       781       110         1        11        12
123      2786       111         4         8        12
123      2789       111         4         8        12
123      2791       111         5         7        12
123      2721       103         4        16        20
123      2792       112         4         7        11
